X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	Y	direction
313	288	258	260	230	185	52	101	124	147	263	238	277	247	224	304	1	Right
298	270	246	290	262	210	54	100	126	149	294	278	306	274	252	325	1	Right
291	258	225	262	237	191	52	99	125	148	284	270	299	270	251	324	1	Right
311	281	252	279	253	202	53	98	123	147	279	252	285	255	228	307	1	Right
279	243	217	286	261	210	53	97	123	149	296	281	307	277	255	328	1	Right
310	278	247	255	231	184	52	92	121	147	270	245	280	252	230	309	1	Right
308	275	248	288	263	211	53	97	123	149	295	276	303	273	248	322	1	Right
283	247	216	270	247	199	53	94	122	148	291	278	302	274	253	326	1	Right
314	285	255	267	239	192	52	101	122	147	271	240	278	250	223	304	1	Right
288	249	226	268	251	210	54	97	124	148	292	272	299	267	254	323	1	Right
296	250	222	242	231	190	53	93	122	147	277	262	286	254	245	315	1	Right
309	268	242	268	251	203	54	96	123	146	278	256	286	251	230	308	1	Right
280	244	217	281	252	207	56	98	125	148	287	275	308	273	260	331	1	Right
312	278	248	248	223	181	52	93	123	145	267	244	287	251	226	302	1	Right
311	282	257	278	251	207	54	100	125	147	284	262	301	261	232	306	1	Right
278	247	221	277	248	206	54	101	125	148	285	272	307	269	245	316	1	Right
311	286	257	249	222	182	52	97	123	146	262	238	280	246	223	299	1	Right
309	285	260	281	251	208	53	102	125	148	283	263	300	262	234	308	1	Right
279	247	221	275	248	206	54	101	125	148	286	273	308	270	245	316	1	Right
314	287	257	248	221	182	52	97	123	146	262	238	280	246	223	299	1	Right
312	287	260	279	250	207	54	101	125	148	282	261	299	261	232	307	1	Right
278	247	221	276	249	207	54	102	125	148	287	274	309	271	246	316	1	Right
307	282	253	248	221	182	52	100	124	147	265	245	287	252	229	304	1	Right
311	288	262	279	247	204	54	106	127	149	277	255	295	257	228	304	1	Right
280	249	225	279	250	207	54	106	127	149	286	272	309	271	247	318	1	Right
309	281	250	247	220	181	52	101	125	148	267	248	290	254	233	306	1	Right
309	287	261	274	246	203	53	105	126	149	275	253	295	255	226	303	1	Right
278	249	225	277	250	207	54	106	127	149	287	275	313	273	248	319	1	Right
305	277	247	246	221	182	53	101	125	148	269	252	292	256	236	308	1	Right
310	287	260	273	244	201	53	106	126	148	274	250	290	253	226	303	1	Right
284	253	229	277	250	207	54	109	127	150	286	275	311	272	251	320	1	Right
301	270	238	250	225	186	53	103	125	148	275	261	299	263	242	312	1	Right
311	289	263	265	235	193	53	105	125	148	266	239	283	247	220	297	1	Right
296	271	249	281	252	208	54	108	127	149	287	273	310	272	246	316	1	Right
283	254	226	268	240	199	53	106	126	149	283	271	307	270	247	317	1	Right
312	289	262	252	224	183	53	102	125	147	262	236	281	246	221	298	1	Right
307	286	261	281	250	207	54	109	126	149	282	263	302	264	235	308	1	Right
277	248	223	278	250	207	54	107	127	149	286	274	311	272	248	318	1	Right
305	277	247	246	221	183	53	102	125	147	270	254	294	258	237	308	1	Right
311	289	262	267	239	196	53	106	125	147	268	243	286	249	221	298	1	Right
291	270	252	282	249	209	53	110	126	149	284	268	300	269	249	321	1	Right
283	247	217	268	249	203	54	103	125	149	294	280	308	278	259	329	1	Right
312	276	246	250	233	188	52	92	121	147	273	248	285	253	231	310	1	Right
307	279	253	282	261	209	54	95	123	149	292	272	307	271	244	320	1	Right
279	241	215	279	254	209	54	102	125	150	293	278	313	277	257	328	1	Right
299	274	245	253	222	185	53	102	124	148	266	250	291	264	243	316	1	Right
312	291	265	266	234	191	53	103	124	148	260	235	279	249	224	302	1	Right
297	275	252	283	251	208	54	107	126	149	282	267	306	272	250	321	1	Right
283	252	223	273	243	202	54	107	126	149	279	268	305	272	253	322	1	Right
312	288	258	248	220	181	52	103	123	147	258	236	280	249	231	305	1	Right
314	289	261	277	245	203	54	108	125	148	273	251	292	258	234	308	1	Right
282	252	228	279	249	207	54	108	126	149	282	269	308	274	255	325	1	Right
298	270	239	254	227	187	53	104	125	148	274	261	302	271	247	318	1	Right
315	292	264	265	235	190	53	102	125	147	259	237	279	246	218	297	1	Right
